text,Username,Timestamp
"RT @2AngeleStar2: Remember this.....

Whatever they investigated Trump for is what they themselves were doing. Still doing it. https://t.co…",JjjAttman,Wed Jun 23 09:38:07 +0000 2021
"RT @MeidasTouch: What a whiny, weak, thin-skinned loser.",wordsofreason_1,Wed Jun 23 09:38:08 +0000 2021
"RT @RSBNetwork: Statement by Donald J. Trump, 45th President of the United States of America https://t.co/FzFE5OmG71",LizaJk4,Wed Jun 23 09:38:09 +0000 2021
"RT @MacFarlaneNews: As others have....  Chansley's lawyer says his client traveled to the Capitol at what was understood to be ""the request…",NCCortes2,Wed Jun 23 09:38:09 +0000 2021
RT @joonsgenre: if twitter can run donald trump off this app then they can do the same with some of those disgusting kpop stans 🤷🏽‍♀️,Cuteyhoney16,Wed Jun 23 09:38:09 +0000 2021
"RT @TotalWorld1: 第45代トランプ大統領声明】トランプ氏、ジェイソン・ミラー氏に代わる新しいスポークスマン「リズ・ハリントン」を発表／リズ「国のために戦うトランプ氏を支援する準備が整った」
https://t.co/nDGQAEfJH0",lettuce26282613,Wed Jun 23 09:38:09 +0000 2021
"RT @jsolomonReports: BREAKING: President Donald Trump tells @DBrodyReports: “I never admitted defeat...I have not conceded."" Watch the rest…",HorsebackAmExp,Wed Jun 23 09:38:11 +0000 2021
"RT @cchukudebelu: THIS. Is what Nigeria's Twitter Ban is all about, to enable the Nigerian Government strip ordinary Nigerians of their rig…",chcblrk,Wed Jun 23 09:38:11 +0000 2021
Was soll man auch anderes von jemand mit nem tRump Avi erwarten als nen homophoben?! #pride #loveislove… https://t.co/oEbj4zwt3T,Capt_ChrisPike,Wed Jun 23 09:38:11 +0000 2021
"RT @BJPolS: #OpenAccess from our new issue -

The #Trump Effect: An Experimental Investigation of the Emboldening Effect of Racially Inflam…",strghtforward,Wed Jun 23 09:38:11 +0000 2021
"RT @CommChickLana: @brianschatz We did Glass,  Heat, Murderous Cops, Proud Boy Thugs, our own FBI who designated BLM as a national security…",30ACTruth,Wed Jun 23 09:38:12 +0000 2021
RT @ACTBrigitte: How many times did Democrats use the filibuster during Trump’s 4 years before they decided they wanted to end it in Biden’…,RichardTexican,Wed Jun 23 09:38:13 +0000 2021
@HMAesq Hassan. NOBODY on the right supports what happened on Jan 6th. Least of all President Trump. Conservatives… https://t.co/9BEqkeMpfA,billbug5185,Wed Jun 23 09:38:13 +0000 2021
"RT @RobertMaguire_: Imagine telling someone 7 years ago, that Donald Trump (DONALD TRUMP!) would become president. Then after being impeach…",mhoptman,Wed Jun 23 09:38:13 +0000 2021
RT @DJcalligraphy: @ArmyVet831 The Democrats are the ones who turned this into the hellscape we see today. This was never supposed to be fo…,RZam2888,Wed Jun 23 09:38:14 +0000 2021
